Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude,Value_co2_emissions_kt_by_country_lag1,gdp_per_capita_lag1,Primary energy consumption per capita (kWh/person)_lag1,Entity_Encoded
2019.0,0.039574543910837735,0.12516733601070942,3.5747256905032168,3.292923103222577,0.14793328498912256,0.6086566904312648,0.0,1.378743771313688,0.6763436265627611,-0.05100405013284287,-0.6556776556776557,81040.00092,23.599577000000004,-0.07394588899441587,0.14719245635668887,-0.21354166666666666,2.105607839033908,-0.3364128353111931,-1.5238132830770899,1.342071465242528,0.17593677049344117,-0.04181803679628806,35
2001.0,-1.3369612521797578,-1.1037483266398929,-0.5534115273048303,0.0,0.951621257640112,-0.44639143727270597,0.0,-0.39289211493276177,-0.4527165776017143,-0.38677634708854974,-0.5934065934065933,110.0,0.0,-0.3254943732322897,-0.31073050045168893,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20498669391648688,-0.32155275276264744,-0.3807102688385904,36
2002.0,-1.2706503894894614,-1.102409638554217,-0.5354185059065876,0.0,0.9681964156220865,-0.44639143727270597,0.0,-0.39289211493276177,-0.4527165776017143,-0.3871550041805565,-0.6043956043956044,109.9999994,0.0,-0.3276066587829963,-0.3053825577190621,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20478959132618257,-0.3188142787452777,-0.38011010616553487,36
2003.0,-1.2276195608217666,-1.099732262382865,-0.5357548240635641,0.0,0.845540246555475,-0.44639143727270597,0.0,-0.39289211493276177,-0.4527165776017143,-0.3804138277390918,-0.5201465201465201,140.0000006,0.0,-0.38625469252319566,-0.29025773935643645,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20478959133800873,-0.3133272071427314,-0.38048759031205365,36
2004.0,-1.1730798546496006,-1.0970548862115128,-0.5127170303106738,0.0,0.8275147622500778,-0.4431887628652424,0.0,-0.39289211493276177,-0.4527165776017143,-0.3778441040427814,-0.48717948717948706,150.000006,0.0,-0.4351238469064813,-0.2804229936921663,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.2041982835434435,-0.29780891057891035,-0.373767295646363,36
2005.0,-1.1185530228222558,-1.0943775100401607,-0.5135578257031151,0.0,0.8735108256500569,-0.4431887628652424,0.0,-0.39289211493276177,-0.4527165776017143,-0.3799338298588955,-0.5238095238095237,150.000006,0.0,-0.19161932441828647,-0.2797889030827682,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20400118084670377,-0.28771831007126875,-0.3712055320434418,36
2006.0,-1.0639815360914855,-1.0903614457831325,-0.5145667801740447,0.0,0.7920853620636072,-0.4431887628652424,0.0,-0.39289211493276177,-0.4527165776017143,-0.3751691240055901,-0.4688644688644688,170.0000018,0.0,-0.24218116497558312,-0.27612844808484344,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20400118084670377,-0.28706772334096536,-0.37328878462950477,36
2007.0,-1.009302262484908,-1.0863453815261044,-0.515407575566486,0.0,1.0521081529058325,-0.4431887628652424,0.0,-0.39289211493276177,-0.4527165776017143,-0.38877209737712193,-0.6336996336996337,109.9999994,0.0,-0.7321447206595117,-0.2661515922524154,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20360697574887826,-0.283312040141709,-0.3685388381464846,36
2008.0,-0.9544505203404875,-1.0809906291834002,-0.5164165300374154,0.0,1.0330467212265617,-0.4431887628652424,0.0,-0.39289211493276177,-0.4527165776017143,-0.3887957452205306,-0.6556776556776557,109.9999994,0.0,0.1167576356085536,-0.2539444429895617,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20478959133800873,-0.2730756324130261,-0.38209967432693853,36
2009.0,-0.8993618425686016,-1.0756358768406962,-0.5172573254298567,0.0,0.9313166891121931,-0.4431887628652424,0.0,-0.39289211493276177,-0.4527165776017143,-0.38392645867901315,-0.6043956043956044,140.0000006,0.0,-0.09543518205622718,-0.2578097625402749,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20478959133800873,-0.260550909277977,-0.3821232489177083,36
2010.0,-0.6744320900006348,-1.070281124497992,-0.5180981208222979,0.0,0.8869781415104113,-0.4431887628652424,0.0,-0.39289211493276177,-0.4527165776017143,-0.3790541268513042,-0.5567765567765568,170.0000018,0.0,0.06368984864037565,-0.26006101747507265,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.2041982835434435,-0.2645167866633296,-0.3772690457003884,36
2011.0,-0.6835372558028846,-1.0635876840696117,-0.5189389162147391,0.0,0.9483062260437168,-0.44001673652978196,0.0,-0.39289211493276177,-0.4527165776017143,-0.38323801386851625,-0.6300366300366299,150.000006,0.0,0.14325324699918324,-0.24958138688285558,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20360697574887826,-0.26682660889599097,-0.3724118066300944,36
2012.0,-0.6865365966841126,-1.0568942436412316,-0.5197797116071804,-2.9054868267041574,0.9172278048275146,-0.44001673652978196,0.0,-0.39289211493276177,-0.4527165776017143,-0.38270124176741166,-0.6263736263736264,159.9999964,0.0,-0.09539279145031192,-0.2531357362628973,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20400118084670377,-0.25607434652098127,-0.3765827334479531,36
2013.0,-0.6753681025518812,-1.0488621151271755,-0.5206205069996217,-5.646280077680565,0.8065886252978348,-0.44001673652978196,0.0,-0.39289211493276177,-0.4527165776017143,-0.3774818475302937,-0.5787545787545786,189.9999976,0.0,0.2493756064186901,-0.24500603105014299,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20380407844561796,-0.2597211637222521,-0.37604762407660414,36
2014.0,-0.6182835913948072,-1.0421686746987953,-0.5212931433135747,-3.854562273903941,0.879312130943748,-0.44001673652978196,0.0,-0.39289211493276177,-0.4527165776017143,-0.38204786623993553,-0.6336996336996337,170.0000018,0.0,-0.38728008247132967,-0.24432895419385972,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.2032127706510527,-0.2513799609756651,-0.3708443976732585,36
2015.0,-0.5608453218517068,-1.036813922356091,-0.5221339387060159,-1.7647652475598665,0.840982078110432,-0.44001673652978196,0.0,-0.39289211493276177,-0.4527165776017143,-0.38027670904077604,-0.6007326007326006,189.9999976,0.0,-0.6482877095137728,-0.2659528415780301,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20360697574887826,-0.25068526969406485,-0.3753962724749783,36
2016.0,-0.5031239120880612,-1.028781793842035,-0.5228065750199689,-6.339377261990219,0.7649435408681239,-0.44001673652978196,0.0,-0.39289211493276177,-0.4527165776017143,-0.3753410210360167,-0.553113553113553,219.9999988,0.0,-0.06345024864072335,-0.2635241157989219,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.2032127706510527,-0.2728717111603259,-0.37363060169318446,36
2017.0,-0.4451902186831443,-1.0220883534136547,-0.5234792113339218,0.6798194861699258,0.6804102351600539,-0.42762373340463955,0.0,-0.39289211493276177,-0.4527165776017143,-0.36553178567530203,-0.45421245421245415,280.0000012,0.0,0.0678730815326522,-0.2594771708269714,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20262146285648744,-0.27037980110833265,-0.3687102027008253,36
2018.0,-0.3871148598024382,-1.0153949129852744,-0.5241518476478749,0.0,0.6511965192168238,-0.42762373340463955,0.0,-0.39289211493276177,-0.4527165776017143,-0.3622730772929172,-0.43223443223443214,300.0000119,0.0,0.02193130793278867,-0.2511482764746767,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20143884726735692,-0.26622757324374036,-0.3589313528752016,36
2019.0,-0.32896895428038836,-1.0087014725568944,-0.5248244839618279,0.0,0.6184605822024242,-0.42459655051588563,0.0,-0.39289211493276177,-0.4527165776017143,-0.35928455885672667,-0.40659340659340654,319.9999928,0.0,-0.4787189993274698,-0.25328066414366807,1.9791666666666667,-0.2264780768433773,-0.7731956255461647,0.3944485413420217,-0.20104464187584853,-0.25768199937245145,-0.35568273881661094,36
2001.0,-1.6219867059515378,-0.9846050870147257,-0.1029133560348089,0.0,0.7790324251528022,-0.45618941826415504,0.0,-0.2669915232961037,1.1719574850277272,-0.366866526207798,-0.7216117216117215,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.36747144577646,37
2002.0,-1.5989561242805328,-0.9805890227576974,-0.11552528692142763,0.0,0.9313166891121931,-0.45618941826415504,0.0,-0.2475113365741275,1.1719576474951499,-0.3713689592124494,-0.7509157509157508,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.3602619588545142,37
2003.0,-1.5760504237542916,-0.9725568942436412,-0.1279690587295581,4.511625262600077,0.7958147726095515,-0.4431887628652424,0.0,-0.2571439937206101,1.0094902249854636,-0.3666088633146739,-0.6117216117216117,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.36475044491722497,37
2004.0,-1.553213457924567,-0.9645247657295851,-0.14041283053768863,0.0,0.8173624779861184,-0.4431887628652424,0.0,-0.26040215811323686,1.0053243978048927,-0.36541366930419833,-0.5824175824175823,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.3600050941097261,37
