Algorithm,Approach,R2_Phase05,R2_Phase1,R2_Change,Change_%
Linear Regression,Pooled,0.830005088334174,0.8044469440065594,-0.025558144327614607,-3.08
SVR,Pooled,0.9921625224624484,0.6263883822211205,-0.3657741402413279,-36.87
XGBoost,Pooled,0.974667222938826,0.7366567581716179,-0.2380104647672081,-24.42
Linear Regression,Panel,0.9319165200263518,0.9771772474720426,0.04526072744569076,4.86
SVR,Panel,0.9935474740990338,0.6584548302740147,-0.335092643825019,-33.73
XGBoost,Panel,0.9784183570216892,0.741756408223961,-0.23666194879772817,-24.19
